gads,menesis,diena,laiks,stunda,minutes,time,date,timestamp,arena,klubs1,rezultars1,rezultars2,klubs2,klubslinks
2021,6,13,16:30,16,30,16:30:00,2021-06-13,2021-06-13 16:30:00,"Jūrmalas pilsētas stadions ""Sloka""",FK Spartaks,1,2,FK Liepāja,"[<a href=""/klubi/fk-spartaks-11735/?cid=9852303"">FK Spartaks</a>, <a href=""/klubi/fk-liepaja-11927/?cid=9852303"">FK Liepāja</a>, <a href=""/speles/fk-spartaks-fk-liepaja-10088473/""> </a>]"
2021,6,21,20:00,20,0,20:00:00,2021-06-21,2021-06-21 20:00:00,Skonto stadions,Riga FC,1,0,Valmiera FC,"[<a href=""/klubi/riga-fc-11950/?cid=9852303"">Riga FC</a>, <a href=""/klubi/valmiera-fc-27794/?cid=9852303"">Valmiera FC</a>, <a href=""/speles/riga-fc-valmiera-fc-10089502/""> </a>]"
2021,6,25,16:00,16,0,16:00:00,2021-06-25,2021-06-25 16:00:00,"Jūrmalas pilsētas stadions ""Sloka""",FK Spartaks,2,0,BFC Daugavpils,"[<a href=""/klubi/fk-spartaks-11735/?cid=9852303"">FK Spartaks</a>, <a href=""/klubi/bfc-daugavpils-11734/?cid=9852303"">BFC Daugavpils</a>, <a href=""/speles/fk-spartaks-bfc-daugavpils-10089573/""> </a>]"
2021,6,25,19:00,19,0,19:00:00,2021-06-25,2021-06-25 19:00:00,Skonto stadions,Riga FC,2,1,FC Noah Jurmala,"[<a href=""/klubi/riga-fc-11950/?cid=9852303"">Riga FC</a>, <a href=""/klubi/fc-noah-jurmala-35901/?cid=9852303"">FC Noah Jurmala</a>, <a href=""/speles/riga-fc-fc-noah-jurmala-10090574/""> </a>]"
2021,6,25,20:00,20,0,20:00:00,2021-06-25,2021-06-25 20:00:00,Jāņa Skredeļa stadions,RFS,1,2,Valmiera FC,"[<a href=""/klubi/rfs-11723/?cid=9852303"">RFS</a>, <a href=""/klubi/valmiera-fc-27794/?cid=9852303"">Valmiera FC</a>, <a href=""/speles/rfs-valmiera-fc-10089592/""> </a>]"
2021,6,26,17:00,17,0,17:00:00,2021-06-26,2021-06-26 17:00:00,"Stadions “Daugava”, Liepāja",FK Liepāja,2,0,FK Metta,"[<a href=""/klubi/fk-liepaja-11927/?cid=9852303"">FK Liepāja</a>, <a href=""/klubi/fk-metta-12425/?cid=9852303"">FK Metta</a>, <a href=""/speles/fk-liepaja-fk-metta-10089585/""> </a>]"
2021,7,1,18:00,18,0,18:00:00,2021-07-01,2021-07-01 18:00:00,"Stadions “Daugava”, Liepāja",FK Liepāja,1,0,Riga FC,"[<a href=""/klubi/fk-liepaja-11927/?cid=9852303"">FK Liepāja</a>, <a href=""/klubi/riga-fc-11950/?cid=9852303"">Riga FC</a>, <a href=""/speles/fk-liepaja-riga-fc-10089744/""> </a>]"
2021,7,2,19:30,19,30,19:30:00,2021-07-02,2021-07-02 19:30:00,Daugavas stadions,Valmiera FC,4,0,BFC Daugavpils,"[<a href=""/klubi/valmiera-fc-27794/?cid=9852303"">Valmiera FC</a>, <a href=""/klubi/bfc-daugavpils-11734/?cid=9852303"">BFC Daugavpils</a>, <a href=""/speles/valmiera-fc-bfc-daugavpils-10089997/""> </a>]"
2021,7,4,15:00,15,0,15:00:00,2021-07-04,2021-07-04 15:00:00,Daugavas stadions,FK Metta,0,3,FK Spartaks,"[<a href=""/klubi/fk-metta-12425/?cid=9852303"">FK Metta</a>, <a href=""/klubi/fk-spartaks-11735/?cid=9852303"">FK Spartaks</a>, <a href=""/speles/fk-metta-fk-spartaks-10090350/""> </a>]"
2021,9,15,16:00,16,0,16:00:00,2021-09-15,2021-09-15 16:00:00,"Stadions ""Celtnieks""",FC Noah Jurmala,0,3,RFS,"[<a href=""/klubi/fc-noah-jurmala-35901/?cid=9852303"">FC Noah Jurmala</a>, <a href=""/klubi/rfs-11723/?cid=9852303"">RFS</a>, <a href=""/speles/fc-noah-jurmala-rfs-10090643/""> </a>]"
2021,7,17,18:00,18,0,18:00:00,2021-07-17,2021-07-17 18:00:00,"Stadions ""Celtnieks""",BFC Daugavpils,3,1,FK Metta,"[<a href=""/klubi/bfc-daugavpils-11734/?cid=9852303"">BFC Daugavpils</a>, <a href=""/klubi/fk-metta-12425/?cid=9852303"">FK Metta</a>, <a href=""/speles/bfc-daugavpils-fk-metta-10090431/""> </a>]"
2021,7,17,18:00,18,0,18:00:00,2021-07-17,2021-07-17 18:00:00,"Jūrmalas pilsētas stadions ""Sloka""",FK Spartaks,2,3,Riga FC,"[<a href=""/klubi/fk-spartaks-11735/?cid=9852303"">FK Spartaks</a>, <a href=""/klubi/riga-fc-11950/?cid=9852303"">Riga FC</a>, <a href=""/speles/fk-spartaks-riga-fc-10089776/""> </a>]"
2021,9,22,18:00,18,0,18:00:00,2021-09-22,2021-09-22 18:00:00,Jāņa Skredeļa stadions,RFS,2,1,FK Liepāja,"[<a href=""/klubi/rfs-11723/?cid=9852303"">RFS</a>, <a href=""/klubi/fk-liepaja-11927/?cid=9852303"">FK Liepāja</a>, <a href=""/speles/rfs-fk-liepaja-10089782/""> </a>]"
2021,7,24,17:00,17,0,17:00:00,2021-07-24,2021-07-24 17:00:00,"Stadions ""Celtnieks""",FC Noah Jurmala,0,3,BFC Daugavpils,"[<a href=""/klubi/fc-noah-jurmala-35901/?cid=9852303"">FC Noah Jurmala</a>, <a href=""/klubi/bfc-daugavpils-11734/?cid=9852303"">BFC Daugavpils</a>, <a href=""/speles/fc-noah-jurmala-bfc-daugavpils-10087286/""> </a>]"
2021,7,25,18:00,18,0,18:00:00,2021-07-25,2021-07-25 18:00:00,"Jūrmalas pilsētas stadions ""Sloka""",FK Spartaks,1,2,RFS,"[<a href=""/klubi/fk-spartaks-11735/?cid=9852303"">FK Spartaks</a>, <a href=""/klubi/rfs-11723/?cid=9852303"">RFS</a>, <a href=""/speles/fk-spartaks-rfs-10089837/""> </a>]"
2021,7,25,20:00,20,0,20:00:00,2021-07-25,2021-07-25 20:00:00,Skonto stadions,FK Metta,0,1,Riga FC,"[<a href=""/klubi/fk-metta-12425/?cid=9852303"">FK Metta</a>, <a href=""/klubi/riga-fc-11950/?cid=9852303"">Riga FC</a>, <a href=""/speles/fk-metta-riga-fc-10089953/""> </a>]"
2021,8,4,18:00,18,0,18:00:00,2021-08-04,2021-08-04 18:00:00,"Stadions “Daugava”, Liepāja",FK Liepāja,2,1,Valmiera FC,"[<a href=""/klubi/fk-liepaja-11927/?cid=9852303"">FK Liepāja</a>, <a href=""/klubi/valmiera-fc-27794/?cid=9852303"">Valmiera FC</a>, <a href=""/speles/fk-liepaja-valmiera-fc-10089831/""> </a>]"
2021,7,31,19:00,19,0,19:00:00,2021-07-31,2021-07-31 19:00:00,Vidzemes Olimpiskā centra stadions,Valmiera FC,2,1,FK Spartaks,"[<a href=""/klubi/valmiera-fc-27794/?cid=9852303"">Valmiera FC</a>, <a href=""/klubi/fk-spartaks-11735/?cid=9852303"">FK Spartaks</a>, <a href=""/speles/valmiera-fc-fk-spartaks-10089865/""> </a>]"
2021,8,1,16:00,16,0,16:00:00,2021-08-01,2021-08-01 16:00:00,"Stadions ""Celtnieks""",FC Noah Jurmala,0,3,FK Liepāja,"[<a href=""/klubi/fc-noah-jurmala-35901/?cid=9852303"">FC Noah Jurmala</a>, <a href=""/klubi/fk-liepaja-11927/?cid=9852303"">FK Liepāja</a>, <a href=""/speles/fc-noah-jurmala-fk-liepaja-10090532/""> </a>]"
2021,8,1,20:00,20,0,20:00:00,2021-08-01,2021-08-01 20:00:00,Jāņa Skredeļa stadions,RFS,4,1,FK Metta,"[<a href=""/klubi/rfs-11723/?cid=9852303"">RFS</a>, <a href=""/klubi/fk-metta-12425/?cid=9852303"">FK Metta</a>, <a href=""/speles/rfs-fk-metta-10090003/""> </a>]"
2021,9,15,18:00,18,0,18:00:00,2021-09-15,2021-09-15 18:00:00,Skonto stadions,Riga FC,7,1,BFC Daugavpils,"[<a href=""/klubi/riga-fc-11950/?cid=9852303"">Riga FC</a>, <a href=""/klubi/bfc-daugavpils-11734/?cid=9852303"">BFC Daugavpils</a>, <a href=""/speles/riga-fc-bfc-daugavpils-10089871/""> </a>]"
2021,8,15,16:00,16,0,16:00:00,2021-08-15,2021-08-15 16:00:00,"Stadions ""Celtnieks""",BFC Daugavpils,1,1,FK Liepāja,"[<a href=""/klubi/bfc-daugavpils-11734/?cid=9852303"">BFC Daugavpils</a>, <a href=""/klubi/fk-liepaja-11927/?cid=9852303"">FK Liepāja</a>, <a href=""/speles/bfc-daugavpils-fk-liepaja-10090661/""> </a>]"
2021,8,16,17:30,17,30,17:30:00,2021-08-16,2021-08-16 17:30:00,Daugavas stadions,FK Metta,0,4,Valmiera FC,"[<a href=""/klubi/fk-metta-12425/?cid=9852303"">FK Metta</a>, <a href=""/klubi/valmiera-fc-27794/?cid=9852303"">Valmiera FC</a>, <a href=""/speles/fk-metta-valmiera-fc-10090154/""> </a>]"
2021,8,16,17:30,17,30,17:30:00,2021-08-16,2021-08-16 17:30:00,"Jūrmalas pilsētas stadions ""Sloka""",FK Spartaks,3,0,FC Noah Jurmala,"[<a href=""/klubi/fk-spartaks-11735/?cid=9852303"">FK Spartaks</a>, <a href=""/klubi/fc-noah-jurmala-35901/?cid=9852303"">FC Noah Jurmala</a>, <a href=""/speles/fk-spartaks-fc-noah-jurmala-10090599/""> </a>]"
2021,9,29,19:40,19,40,19:40:00,2021-09-29,2021-09-29 19:40:00,Skonto stadions,Riga FC,1,1,RFS,"[<a href=""/klubi/riga-fc-11950/?cid=9852303"">Riga FC</a>, <a href=""/klubi/rfs-11723/?cid=9852303"">RFS</a>, <a href=""/speles/riga-fc-rfs-10090172/""> </a>]"
2021,8,27,20:00,20,0,20:00:00,2021-08-27,2021-08-27 20:00:00,Jāņa Skredeļa stadions,RFS,2,0,BFC Daugavpils,"[<a href=""/klubi/rfs-11723/?cid=9852303"">RFS</a>, <a href=""/klubi/bfc-daugavpils-11734/?cid=9852303"">BFC Daugavpils</a>, <a href=""/speles/rfs-bfc-daugavpils-10090514/""> </a>]"
2021,8,28,15:00,15,0,15:00:00,2021-08-28,2021-08-28 15:00:00,"Stadions ""Celtnieks""",FC Noah Jurmala,0,3,FK Metta,"[<a href=""/klubi/fc-noah-jurmala-35901/?cid=9852303"">FC Noah Jurmala</a>, <a href=""/klubi/fk-metta-12425/?cid=9852303"">FK Metta</a>, <a href=""/speles/fc-noah-jurmala-fk-metta-10087308/""> </a>]"
2021,8,28,17:00,17,0,17:00:00,2021-08-28,2021-08-28 17:00:00,"Stadions “Daugava”, Liepāja",FK Liepāja,3,0,FK Spartaks,"[<a href=""/klubi/fk-liepaja-11927/?cid=9852303"">FK Liepāja</a>, <a href=""/klubi/fk-spartaks-11735/?cid=9852303"">FK Spartaks</a>, <a href=""/speles/fk-liepaja-fk-spartaks-10089985/""> </a>]"
2021,10,27,15:00,15,0,15:00:00,2021-10-27,2021-10-27 15:00:00,Vidzemes Olimpiskā centra stadions,Valmiera FC,1,1,Riga FC,"[<a href=""/klubi/valmiera-fc-27794/?cid=9852303"">Valmiera FC</a>, <a href=""/klubi/riga-fc-11950/?cid=9852303"">Riga FC</a>, <a href=""/speles/valmiera-fc-riga-fc-10090220/""> </a>]"
2021,9,11,14:00,14,0,14:00:00,2021-09-11,2021-09-11 14:00:00,"Stadions ""Celtnieks""",FC Noah Jurmala,0,3,Riga FC,"[<a href=""/klubi/fc-noah-jurmala-35901/?cid=9852303"">FC Noah Jurmala</a>, <a href=""/klubi/riga-fc-11950/?cid=9852303"">Riga FC</a>, <a href=""/speles/fc-noah-jurmala-riga-fc-10089991/""> </a>]"
2021,9,11,16:00,16,0,16:00:00,2021-09-11,2021-09-11 16:00:00,"Jūrmalas pilsētas stadions ""Sloka""",FK Spartaks,3,0,BFC Daugavpils,"[<a href=""/klubi/fk-spartaks-11735/?cid=9852303"">FK Spartaks</a>, <a href=""/klubi/bfc-daugavpils-11734/?cid=9852303"">BFC Daugavpils</a>, <a href=""/speles/fk-spartaks-bfc-daugavpils-10090310/""> </a>]"
2021,9,12,14:00,14,0,14:00:00,2021-09-12,2021-09-12 14:00:00,Daugavas stadions,FK Metta,0,3,FK Liepāja,"[<a href=""/klubi/fk-metta-12425/?cid=9852303"">FK Metta</a>, <a href=""/klubi/fk-liepaja-11927/?cid=9852303"">FK Liepāja</a>, <a href=""/speles/fk-metta-fk-liepaja-10090304/""> </a>]"
2021,9,12,16:00,16,0,16:00:00,2021-09-12,2021-09-12 16:00:00,Vidzemes Olimpiskā centra stadions,Valmiera FC,1,1,RFS,"[<a href=""/klubi/valmiera-fc-27794/?cid=9852303"">Valmiera FC</a>, <a href=""/klubi/rfs-11723/?cid=9852303"">RFS</a>, <a href=""/speles/valmiera-fc-rfs-10090292/""> </a>]"
2021,9,25,16:00,16,0,16:00:00,2021-09-25,2021-09-25 16:00:00,Skonto stadions,Riga FC,0,1,FK Liepāja,"[<a href=""/klubi/riga-fc-11950/?cid=9852303"">Riga FC</a>, <a href=""/klubi/fk-liepaja-11927/?cid=9852303"">FK Liepāja</a>, <a href=""/speles/riga-fc-fk-liepaja-10090356/""> </a>]"
2021,9,26,14:00,14,0,14:00:00,2021-09-26,2021-09-26 14:00:00,"Stadions ""Celtnieks""",FC Noah Jurmala,0,3,RFS,"[<a href=""/klubi/fc-noah-jurmala-35901/?cid=9852303"">FC Noah Jurmala</a>, <a href=""/klubi/rfs-11723/?cid=9852303"">RFS</a>, <a href=""/speles/fc-noah-jurmala-rfs-10090208/""> </a>]"
2021,9,26,15:00,15,0,15:00:00,2021-09-26,2021-09-26 15:00:00,"Stadions ""Celtnieks""",BFC Daugavpils,1,5,Valmiera FC,"[<a href=""/klubi/bfc-daugavpils-11734/?cid=9852303"">BFC Daugavpils</a>, <a href=""/klubi/valmiera-fc-27794/?cid=9852303"">Valmiera FC</a>, <a href=""/speles/bfc-daugavpils-valmiera-fc-10090556/""> </a>]"
2021,9,26,16:00,16,0,16:00:00,2021-09-26,2021-09-26 16:00:00,"Jūrmalas pilsētas stadions ""Sloka""",FK Spartaks,1,0,FK Metta,"[<a href=""/klubi/fk-spartaks-11735/?cid=9852303"">FK Spartaks</a>, <a href=""/klubi/fk-metta-12425/?cid=9852303"">FK Metta</a>, <a href=""/speles/fk-spartaks-fk-metta-10089738/""> </a>]"
2021,10,2,13:00,13,0,13:00:00,2021-10-02,2021-10-02 13:00:00,"Stadions ""Celtnieks""",FC Noah Jurmala,0,3,Valmiera FC,"[<a href=""/klubi/fc-noah-jurmala-35901/?cid=9852303"">FC Noah Jurmala</a>, <a href=""/klubi/valmiera-fc-27794/?cid=9852303"">Valmiera FC</a>, <a href=""/speles/fc-noah-jurmala-valmiera-fc-10089750/""> </a>]"
2021,10,2,13:00,13,0,13:00:00,2021-10-02,2021-10-02 13:00:00,"Jūrmalas pilsētas stadions ""Sloka""",FK Spartaks,1,1,Riga FC,"[<a href=""/klubi/fk-spartaks-11735/?cid=9852303"">FK Spartaks</a>, <a href=""/klubi/riga-fc-11950/?cid=9852303"">Riga FC</a>, <a href=""/speles/fk-spartaks-riga-fc-10090400/""> </a>]"
2021,10,2,15:00,15,0,15:00:00,2021-10-02,2021-10-02 15:00:00,"Stadions “Daugava”, Liepāja",FK Liepāja,1,1,RFS,"[<a href=""/klubi/fk-liepaja-11927/?cid=9852303"">FK Liepāja</a>, <a href=""/klubi/rfs-11723/?cid=9852303"">RFS</a>, <a href=""/speles/fk-liepaja-rfs-10090406/""> </a>]"
2021,10,2,17:30,17,30,17:30:00,2021-10-02,2021-10-02 17:30:00,Rīgas Hanzas vidusskolas futbola laukums,FK Metta,2,2,BFC Daugavpils,"[<a href=""/klubi/fk-metta-12425/?cid=9852303"">FK Metta</a>, <a href=""/klubi/bfc-daugavpils-11734/?cid=9852303"">BFC Daugavpils</a>, <a href=""/speles/fk-metta-bfc-daugavpils-10089819/""> </a>]"
2021,10,16,14:00,14,0,14:00:00,2021-10-16,2021-10-16 14:00:00,Vidzemes Olimpiskā centra stadions,Valmiera FC,1,0,FK Liepāja,"[<a href=""/klubi/valmiera-fc-27794/?cid=9852303"">Valmiera FC</a>, <a href=""/klubi/fk-liepaja-11927/?cid=9852303"">FK Liepāja</a>, <a href=""/speles/valmiera-fc-fk-liepaja-10090443/""> </a>]"
2021,10,16,16:00,16,0,16:00:00,2021-10-16,2021-10-16 16:00:00,Jāņa Skredeļa stadions,RFS,1,1,FK Spartaks,"[<a href=""/klubi/rfs-11723/?cid=9852303"">RFS</a>, <a href=""/klubi/fk-spartaks-11735/?cid=9852303"">FK Spartaks</a>, <a href=""/speles/rfs-fk-spartaks-10090449/""> </a>]"
2021,10,17,14:00,14,0,14:00:00,2021-10-17,2021-10-17 14:00:00,"Stadions ""Celtnieks""",BFC Daugavpils,3,0,FC Noah Jurmala,"[<a href=""/klubi/bfc-daugavpils-11734/?cid=9852303"">BFC Daugavpils</a>, <a href=""/klubi/fc-noah-jurmala-35901/?cid=9852303"">FC Noah Jurmala</a>, <a href=""/speles/bfc-daugavpils-fc-noah-jurmala-10090388/""> </a>]"
2021,10,17,16:00,16,0,16:00:00,2021-10-17,2021-10-17 16:00:00,Skonto stadions,Riga FC,1,1,FK Metta,"[<a href=""/klubi/riga-fc-11950/?cid=9852303"">Riga FC</a>, <a href=""/klubi/fk-metta-12425/?cid=9852303"">FK Metta</a>, <a href=""/speles/riga-fc-fk-metta-10090520/""> </a>]"
2021,10,20,18:30,18,30,18:30:00,2021-10-20,2021-10-20 18:30:00,Jāņa Skredeļa stadions,FK Metta,2,5,RFS,"[<a href=""/klubi/fk-metta-12425/?cid=9852303"">FK Metta</a>, <a href=""/klubi/rfs-11723/?cid=9852303"">RFS</a>, <a href=""/speles/fk-metta-rfs-10090562/""> </a>]"
2021,10,23,14:00,14,0,14:00:00,2021-10-23,2021-10-23 14:00:00,"Jūrmalas pilsētas stadions ""Sloka""",FK Spartaks,1,4,Valmiera FC,"[<a href=""/klubi/fk-spartaks-11735/?cid=9852303"">FK Spartaks</a>, <a href=""/klubi/valmiera-fc-27794/?cid=9852303"">Valmiera FC</a>, <a href=""/speles/fk-spartaks-valmiera-fc-10090472/""> </a>]"
2021,10,23,14:00,14,0,14:00:00,2021-10-23,2021-10-23 14:00:00,"Stadions ""Celtnieks""",BFC Daugavpils,3,0,Riga FC,"[<a href=""/klubi/bfc-daugavpils-11734/?cid=9852303"">BFC Daugavpils</a>, <a href=""/klubi/riga-fc-11950/?cid=9852303"">Riga FC</a>, <a href=""/speles/bfc-daugavpils-riga-fc-10090478/""> </a>]"
2021,10,23,14:00,14,0,14:00:00,2021-10-23,2021-10-23 14:00:00,"Stadions “Daugava”, Liepāja",FK Liepāja,3,0,FC Noah Jurmala,"[<a href=""/klubi/fk-liepaja-11927/?cid=9852303"">FK Liepāja</a>, <a href=""/klubi/fc-noah-jurmala-35901/?cid=9852303"">FC Noah Jurmala</a>, <a href=""/speles/fk-liepaja-fc-noah-jurmala-10087332/""> </a>]"
2021,10,31,13:30,13,30,13:30:00,2021-10-31,2021-10-31 13:30:00,Vidzemes Olimpiskā centra stadions,Valmiera FC,1,0,FK Metta,"[<a href=""/klubi/valmiera-fc-27794/?cid=9852303"">Valmiera FC</a>, <a href=""/klubi/fk-metta-12425/?cid=9852303"">FK Metta</a>, <a href=""/speles/valmiera-fc-fk-metta-10090611/""> </a>]"
2021,10,31,13:30,13,30,13:30:00,2021-10-31,2021-10-31 13:30:00,Jāņa Skredeļa stadions,RFS,0,0,Riga FC,"[<a href=""/klubi/rfs-11723/?cid=9852303"">RFS</a>, <a href=""/klubi/riga-fc-11950/?cid=9852303"">Riga FC</a>, <a href=""/speles/rfs-riga-fc-10090617/""> </a>]"
2021,10,31,13:30,13,30,13:30:00,2021-10-31,2021-10-31 13:30:00,"Stadions “Daugava”, Liepāja",FK Liepāja,3,1,BFC Daugavpils,"[<a href=""/klubi/fk-liepaja-11927/?cid=9852303"">FK Liepāja</a>, <a href=""/klubi/bfc-daugavpils-11734/?cid=9852303"">BFC Daugavpils</a>, <a href=""/speles/fk-liepaja-bfc-daugavpils-10090201/""> </a>]"
2021,10,31,13:30,13,30,13:30:00,2021-10-31,2021-10-31 13:30:00,"Stadions ""Celtnieks""",FC Noah Jurmala,0,3,FK Spartaks,"[<a href=""/klubi/fc-noah-jurmala-35901/?cid=9852303"">FC Noah Jurmala</a>, <a href=""/klubi/fk-spartaks-11735/?cid=9852303"">FK Spartaks</a>, <a href=""/speles/fc-noah-jurmala-fk-spartaks-10090160/""> </a>]"
2021,11,6,13:30,13,30,13:30:00,2021-11-06,2021-11-06 13:30:00,Skonto stadions,Riga FC,-,-,Valmiera FC,"[<a href=""/klubi/riga-fc-11950/?cid=9852303"">Riga FC</a>, <a href=""/klubi/valmiera-fc-27794/?cid=9852303"">Valmiera FC</a>]"
2021,11,6,13:30,13,30,13:30:00,2021-11-06,2021-11-06 13:30:00,Daugavas stadions,FK Metta,3,0,FC Noah Jurmala,"[<a href=""/klubi/fk-metta-12425/?cid=9852303"">FK Metta</a>, <a href=""/klubi/fc-noah-jurmala-35901/?cid=9852303"">FC Noah Jurmala</a>, <a href=""/speles/fk-metta-fc-noah-jurmala-10090484/""> </a>]"
2021,11,6,13:30,13,30,13:30:00,2021-11-06,2021-11-06 13:30:00,"Jūrmalas pilsētas stadions ""Sloka""",FK Spartaks,-,-,FK Liepāja,"[<a href=""/klubi/fk-spartaks-11735/?cid=9852303"">FK Spartaks</a>, <a href=""/klubi/fk-liepaja-11927/?cid=9852303"">FK Liepāja</a>]"
2021,11,6,13:30,13,30,13:30:00,2021-11-06,2021-11-06 13:30:00,"Stadions ""Celtnieks""",BFC Daugavpils,-,-,RFS,"[<a href=""/klubi/bfc-daugavpils-11734/?cid=9852303"">BFC Daugavpils</a>, <a href=""/klubi/rfs-11723/?cid=9852303"">RFS</a>]"
